City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count
Mer Rouge,LA,MOREHOUSE,2015-07-02,32.8,-91.7,2015,7,2,Summer,4
New orleans,LA,JEFFERSON,2015-07-03,30.0,-90.1,2015,7,3,Summer,12
Newburgh,IN,WARRICK,2015-07-03,38.0,-87.4,2015,7,3,Summer,4
New orleans,LA,ORLEANS,2015-07-03,30.0,-90.1,2015,7,3,Summer,48
Moline,IL,ROCK ISLAND,2015-07-03,41.5,-90.5,2015,7,3,Summer,2
Kensington,MD,MONTGOMERY,2015-07-03,39.0,-77.1,2015,7,3,Summer,2
Meadowlands,MN,SAINT LOUIS,2015-07-03,47.1,-92.8,2015,7,3,Summer,10
Allenton,WI,WASHINGTON,2015-07-04,43.5,-88.4,2015,7,4,Summer,2
Monett,MO,BARRY,2015-07-04,36.9,-93.9,2015,7,4,Summer,1
Blachly,OR,LANE,2015-07-04,44.2,-123.5,2015,7,4,Summer,3
Melbourne,IA,MARSHALL,2015-07-04,41.9,-93.1,2015,7,4,Summer,6
COLE CAMP,MO,BENTON,2015-07-04,38.4,-93.2,2015,7,4,Summer,8
Minneapolis,MN,HENNEPIN,2015-07-05,45.0,-93.3,2015,7,5,Summer,62
Hilo,HI,HAWAII,2015-07-05,19.7,-155.3,2015,7,5,Summer,1
Green River,WY,SWEETWATER,2015-07-05,41.9,-109.7,2015,7,5,Summer,15
Houston,TX,HARRIS,2015-07-05,29.8,-95.4,2015,7,5,Summer,43
Grove City,OH,FRANKLIN,2015-07-05,39.9,-83.1,2015,7,5,Summer,6
Todd,NC,ASHE,2015-07-05,36.3,-81.6,2015,7,5,Summer,5
Estero,FL,LEE,2015-07-05,26.4,-81.8,2015,7,5,Summer,1
Jackson,CA,AMADOR,2015-07-05,38.6,-120.9,2015,7,5,Summer,6
Minneapolis,MN,ANOKA,2015-07-05,45.0,-93.3,2015,7,5,Summer,24
Gray Summit,MO,FRANKLIN,2015-07-05,38.5,-90.8,2015,7,5,Summer,1
Houston,TX,FORT BEND,2015-07-05,29.8,-95.4,2015,7,5,Summer,1
Lansing,IL,COOK,2015-07-05,41.6,-87.5,2015,7,5,Summer,4
Mer Rouge,LA,MOREHOUSE,2015-07-06,32.8,-91.7,2015,7,6,Summer,3
Little Rock,AR,PULASKI,2015-07-06,34.7,-92.3,2015,7,6,Summer,5
Bastrop,LA,MOREHOUSE,2015-07-06,32.9,-91.9,2015,7,6,Summer,8
Saugatuck,MI,ALLEGAN,2015-07-06,42.6,-86.2,2015,7,6,Summer,1
Storrs Mansfield,CT,TOLLAND,2015-07-07,41.8,-72.3,2015,7,7,Summer,7
Wonder Lake,IL,MCHENRY,2015-07-07,42.4,-88.4,2015,7,7,Summer,4
Hobart,IN,LAKE,2015-07-07,41.5,-87.2,2015,7,7,Summer,4
american falls,ID,POWER,2015-07-08,42.8,-113.0,2015,7,8,Summer,18
Menomonie,WI,DUNN,2015-07-08,44.7,-91.8,2015,7,8,Summer,4
Allenton,WI,WASHINGTON,2015-07-09,43.5,-88.4,2015,7,9,Summer,2
Mount Dora,FL,LAKE,2015-07-09,28.8,-81.6,2015,7,9,Summer,4
Arlington,VA,ARLINGTON,2015-07-09,38.9,-77.1,2015,7,9,Summer,17
Moline,IL,ROCK ISLAND,2015-07-09,41.5,-90.5,2015,7,9,Summer,4
Franklin,WI,MILWAUKEE,2015-07-09,42.9,-88.0,2015,7,9,Summer,1
Empire,MI,LEELANAU,2015-07-09,44.8,-86.0,2015,7,9,Summer,1
Moline,IL,ROCK ISLAND,2015-07-10,41.5,-90.5,2015,7,10,Summer,2
Indianapolis,IN,HAMILTON,2015-07-10,39.9,-85.9,2015,7,10,Summer,2
Indianapolis,IN,MARION,2015-07-10,39.9,-85.9,2015,7,10,Summer,52
Morgantown,WV,MONONGALIA,2015-07-10,39.6,-80.0,2015,7,10,Summer,8
Loveland,CO,LARIMER,2015-07-11,40.4,-105.1,2015,7,11,Summer,1
Broadview Heights,OH,CUYAHOGA,2015-07-11,41.3,-81.7,2015,7,11,Summer,3
Kalamazoo,MI,KALAMAZOO,2015-07-11,42.2,-85.5,2015,7,11,Summer,2
Fortville,IN,HANCOCK,2015-07-11,39.9,-85.8,2015,7,11,Summer,4
Baltimore,MD,BALTIMORE,2015-07-11,39.3,-76.6,2015,7,11,Summer,3
Baltimore,MD,ANNE ARUNDEL,2015-07-11,39.3,-76.6,2015,7,11,Summer,2
Baltimore,MD,BALTIMORE CITY,2015-07-11,39.3,-76.6,2015,7,11,Summer,38
Armada,MI,MACOMB,2015-07-12,42.8,-82.9,2015,7,12,Summer,2
Hopkins,MN,HENNEPIN,2015-07-12,45.0,-93.4,2015,7,12,Summer,6
Chambersburg,PA,FRANKLIN,2015-07-12,39.9,-77.7,2015,7,12,Summer,24
Portsmouth,NH,ROCKINGHAM,2015-07-12,43.1,-70.8,2015,7,12,Summer,3
Norwich,VT,WINDSOR,2015-07-12,43.7,-72.3,2015,7,12,Summer,1
Minneapolis,MN,ANOKA,2015-07-12,45.0,-93.3,2015,7,12,Summer,36
Minneapolis,MN,HENNEPIN,2015-07-12,45.0,-93.3,2015,7,12,Summer,93
Allenton,WI,WASHINGTON,2015-07-12,43.5,-88.4,2015,7,12,Summer,3
Lawndale,CA,LOS ANGELES,2015-07-13,33.9,-118.4,2015,7,13,Summer,1
Leawood,KS,JOHNSON,2015-07-13,38.9,-94.6,2015,7,13,Summer,7
Marshall,NC,MADISON,2015-07-13,35.9,-82.7,2015,7,13,Summer,1
Dover,OH,TUSCARAWAS,2015-07-13,40.6,-81.5,2015,7,13,Summer,4
Mer Rouge,LA,MOREHOUSE,2015-07-13,32.8,-91.7,2015,7,13,Summer,3
Warren,MI,MACOMB,2015-07-13,42.5,-83.0,2015,7,13,Summer,2
San Diego,CA,SAN DIEGO,2015-07-13,32.7,-117.2,2015,7,13,Summer,40
Katy,TX,FORT BEND,2015-07-14,29.8,-95.7,2015,7,14,Summer,2
Lombard,IL,DUPAGE,2015-07-14,41.9,-88.0,2015,7,14,Summer,2
Katy,TX,HARRIS,2015-07-14,29.8,-95.7,2015,7,14,Summer,2
Ballwin,MO,SAINT LOUIS,2015-07-14,38.6,-90.6,2015,7,14,Summer,7
Farmington,MN,DAKOTA,2015-07-14,44.7,-93.1,2015,7,14,Summer,2
Hermiston,OR,UMATILLA,2015-07-14,45.8,-119.3,2015,7,14,Summer,1
Minneapolis,MN,HENNEPIN,2015-07-15,45.0,-93.3,2015,7,15,Summer,155
Minneapolis,MN,ANOKA,2015-07-15,45.0,-93.3,2015,7,15,Summer,60
Central Point,OR,JACKSON,2015-07-15,42.4,-122.9,2015,7,15,Summer,2
Mount Dora,FL,LAKE,2015-07-15,28.8,-81.6,2015,7,15,Summer,3
Traverse City,MI,GRAND TRAVERSE,2015-07-15,44.8,-85.7,2015,7,15,Summer,2
Mars Hill,NC,MADISON,2015-07-15,35.9,-82.5,2015,7,15,Summer,2
