city,state,county,count,FIPS,cleaned_county
Fairfield,CT,FAIRFIELD,1,9001,FAIRFIELD
Fairfield,OH,BUTLER,2,39017,BUTLER
Fairhope,AL,BALDWIN,1,1003,BALDWIN
Fairport,NY,MONROE,2,36055,MONROE
Fairview,OK,MAJOR,1,40093,MAJOR
Falls Church,VA,FALLS CHURCH CITY,2,51610,FALLS CHURCH CITY
Falmouth,MA,BARNSTABLE,3,25001,BARNSTABLE
Fargo,ND,CASS,1,38017,CASS
Faribault,MN,RICE,0,27131,RICE
Farmington,MI,OAKLAND,3,26125,OAKLAND
Farmington,MO,ST. FRANCOIS,2,29187,ST. FRANCOIS
Farmington,NY,ONTARIO,1,36069,ONTARIO
Farwell,MI,CLARE,2,26035,CLARE
Fayetteville,AR,WASHINGTON,1,5143,WASHINGTON
Fernandina Beach,FL,NASSAU,14,12089,NASSAU
Ferndale,MI,OAKLAND,1,26125,OAKLAND
Fernley,NV,LYON,1,32019,LYON
Fertile,MN,POLK,1,27119,POLK
Fish Haven,ID,BEAR LAKE,1,16007,BEAR LAKE
Flagstaff,AZ,COCONINO,1,4005,COCONINO
Flat Rock,MI,WAYNE,0,26163,WAYNE
Fleetwood,PA,BERKS,2,42011,BERKS
Fletcher,NC,HENDERSON,1,37089,HENDERSON
Florence,KY,BOONE,1,21015,BOONE
Fontanet,IN,VIGO,1,18167,VIGO
Forney,TX,KAUFMAN,1,48257,KAUFMAN
Fort Edward,NY,WASHINGTON,1,36115,WASHINGTON
Fort Leavenworth,KS,LEAVENWORTH,1,20103,LEAVENWORTH
Fort Sill,OK,COMANCHE,1,40031,COMANCHE
Fort Smith,AR,SEBASTIAN,1,5131,SEBASTIAN
Fort Wayne,IN,ALLEN,4,18003,ALLEN
Fort Worth,TX,TARRANT,1,48439,TARRANT
Frankenmuth,MI,SAGINAW,1,26145,SAGINAW
Frankfort,IN,CLINTON,1,18023,CLINTON
Franklin,TN,WILLIAMSON,0,47187,WILLIAMSON
Franklin,WI,MILWAUKEE,1,55079,MILWAUKEE
Frederick,MD,FREDERICK,2,24021,FREDERICK
Fredericktown,OH,KNOX,1,39083,KNOX
Freeland,PA,LUZERNE,2,42079,LUZERNE
Freeport,ME,CUMBERLAND,1,23005,CUMBERLAND
Freeville,NY,TOMPKINS,1,36109,TOMPKINS
Fremont,OH,SANDUSKY,1,39143,SANDUSKY
Friendsville,TN,BLOUNT,15,47009,BLOUNT
Friendswood,TX,GALVESTON,1,48167,GALVESTON
Fullerton,CA,ORANGE,9,6059,ORANGE
Fulton,MD,HOWARD,1,24027,HOWARD
Gainesville,FL,ALACHUA,2,12001,ALACHUA
Gainesville,GA,HALL,2,13139,HALL
Gansevoort,NY,SARATOGA,1,36091,SARATOGA
Gardena,CA,LOS ANGELES,1,6037,LOS ANGELES
Gardiner,MT,PARK,2,30067,PARK
Gardner,MA,WORCESTER,1,25027,WORCESTER
Garland,TX,DALLAS,2,48113,DALLAS
Garretson,SD,MINNEHAHA,1,46099,MINNEHAHA
Garrison,MN,CROW WING,1,27035,CROW WING
Gary,IN,LAKE,2,18089,LAKE
Gause,TX,MILAM,1,48331,MILAM
Geneseo,IL,HENRY,1,17073,HENRY
Geneseo,NY,LIVINGSTON,1,36051,LIVINGSTON
Georgetown,TX,WILLIAMSON,3,48491,WILLIAMSON
Glen Rose,TX,SOMERVELL,1,48425,SOMERVELL
Glendora,CA,LOS ANGELES,2,6037,LOS ANGELES
Glenpool,OK,TULSA,1,40143,TULSA
Glenview,IL,COOK,1,17031,COOK
Glenwood,IA,MILLS,1,19129,MILLS
Gloucester Point,VA,GLOUCESTER,2,51073,GLOUCESTER
Gomer,OH,ALLEN,1,39003,ALLEN
Gouldsboro,ME,HANCOCK,3,23009,HANCOCK
Grafton,MA,WORCESTER,1,25027,WORCESTER
Granby,MA,HAMPSHIRE,1,25015,HAMPSHIRE
Grand Haven,MI,OTTAWA,1,26139,OTTAWA
Grand Ledge,MI,EATON,1,26045,EATON
Grand Marais,MN,COOK,3,27031,COOK
Grand Portage,MN,COOK,1,27031,COOK
Grand Rapids,MI,KENT,5,26081,KENT
Grand Terrace,CA,SAN BERNARDINO,3,6071,SAN BERNARDINO
Grants Pass,OR,JOSEPHINE,0,41033,JOSEPHINE
Grantsville,UT,TOOELE,2,49045,TOOELE
