City,State/Province,County,Count,Latitude,Longitude
california,PA,WASHINGTON,5,40.1,-79.9
calvert city,KY,MARSHALL,4,37.0,-88.4
camarillo,CA,VENTURA,33,34.2,-119.0
cambria,CA,SAN LUIS OBISPO,27,35.6,-121.1
cambridge,MA,MIDDLESEX,11,42.4,-71.1
cambridge,WI,DANE,53,43.0,-89.0
cambridge springs,PA,CRAWFORD,4,41.8,-80.0
camden,NJ,CAMDEN,4,39.9,-75.1
camden,OH,PREBLE,8,39.6,-84.7
camdenton,MO,CAMDEN,40,38.0,-92.7
cameron,LA,CAMERON,12,29.7,-93.6
cameron,NC,HARNETT,7,35.3,-79.0
camillus,NY,ONONDAGA,6,43.0,-76.3
camp hill,PA,CUMBERLAND,36,40.2,-76.9
camp verde,AZ,YAVAPAI,1,34.5,-111.8
campbell hall,NY,ORANGE,2,41.5,-74.3
campbellsville,KY,TAYLOR,6,37.3,-85.3
campo,CO,BACA,11,37.0,-102.7
campobello,SC,SPARTANBURG,3,35.1,-82.2
canal fulton,OH,STARK,6,40.9,-81.6
caneadea,NY,ALLEGANY,1,42.4,-78.2
canoga park,CA,LOS ANGELES,5,34.2,-118.6
canton,GA,CHEROKEE,72,34.3,-84.4
canton,IL,FULTON,40,40.6,-90.0
canton,MI,WAYNE,2,42.3,-83.5
canton,NC,HAYWOOD,8,35.4,-82.8
canton,OH,STARK,231,40.8,-81.4
canton,SD,LINCOLN,2,43.3,-96.6
canton,TX,VAN ZANDT,1,32.6,-95.9
cantonment,FL,ESCAMBIA,7,30.6,-87.4
canyon country,CA,LOS ANGELES,4,34.5,-118.4
canyon lake,TX,COMAL,112,29.9,-98.2
cape charles,VA,NORTHAMPTON,95,37.3,-76.0
cape coral,FL,LEE,56,26.6,-82.0
cape girardeau,MO,CAPE GIRARDEAU,4,37.3,-89.6
cape may,NJ,CAPE MAY,584,39.0,-74.9
cape may court house,NJ,CAPE MAY,6,39.2,-74.8
cape may point,NJ,CAPE MAY,200,38.9,-75.0
capitan,NM,LINCOLN,22,33.5,-105.5
capitola,CA,SANTA CRUZ,1,37.0,-122.0
carbondale,IL,JACKSON,90,37.7,-89.2
cardiff by the sea,CA,SAN DIEGO,10,33.0,-117.3
cardington,OH,MORROW,30,40.5,-83.0
carencro,LA,LAFAYETTE,1,30.3,-92.1
carlisle,IA,WARREN,5,41.5,-93.5
carlisle,PA,CUMBERLAND,15,40.2,-77.3
carlsbad,CA,SAN DIEGO,210,33.1,-117.3
carlsbad,NM,EDDY,45,32.1,-104.5
carlton,MN,CARLTON,28,46.7,-92.4
carmel,IN,HAMILTON,1,40.0,-86.1
carmel,NY,PUTNAM,8,41.4,-73.7
caro,MI,TUSCOLA,10,43.5,-83.4
carolina beach,NC,NEW HANOVER,50,34.0,-77.9
carpentersville,IL,KANE,4,42.1,-88.3
carrboro,NC,ORANGE,1,35.9,-79.1
